Company,Industry,ESG,Ticker,ESG_Report_URL,Website_URL
Samsung Electronics,전자,E (환경),005930.KS,https://www.samsung.com/global/ir/reports/annual-report/,https://www.samsung.com
LG Chem,화학,E (환경),051910.KS,https://www.lgchem.com/company/information/integrated-report,https://www.lgchem.com
Hyundai Motor,차량,S (사회),005380.KS,https://www.hyundai.com/worldwide/en/company/investors,https://www.hyundai.com
SK Hynix,전자,G (지배구조),000660.KS,https://www.skhynix.com/eng/sustainability/socialValuPerformance.jsp,https://www.skhynix.com
Kakao,정보기술,S (사회),035720.KS,https://www.kakaocorp.com/page/sustainability,https://www.kakaocorp.com
